client_id	id	path	sentence
1337ad-20170321-amr	1337ad-20170321-amr/mfc/de4-67	/data/voxforge_german/audio/1337ad-20170321-amr/wav/de4-67.wav	MAN VERSUCHTE DIE MATHEMATIK VOLLSTÃ NDIG IN AXIOME ZU ZERLEGEN
1337ad-20170321-amr	1337ad-20170321-amr/mfc/de4-68	/data/voxforge_german/audio/1337ad-20170321-amr/wav/de4-68.wav	UND DIE MATHEMATISCHEN OBJEKTE AUF DIE WESENTLICHEN EIGENSCHAFTEN ZU REDUZIEREN
1337ad-20170321-amr	1337ad-20170321-amr/mfc/de4-69	/data/voxforge_german/audio/1337ad-20170321-amr/wav/de4-69.wav	WIE KANN DIE TEILBARKEIT VON GANZEN ZAHLEN UNTERSUCHT WERDEN
1337ad-20170321-amr	1337ad-20170321-amr/mfc/de4-70	/data/voxforge_german/audio/1337ad-20170321-amr/wav/de4-70.wav	WIE KÃ NNEN RÃ UMLICHE BEZIEHUNGEN OPTIMAL RECHNERISCH ERFASST WERDEN
1337ad-20170321-amr	1337ad-20170321-amr/mfc/de4-71	/data/voxforge_german/audio/1337ad-20170321-amr/wav/de4-71.wav	WIE BESTIMMT MAN DIE FLÃ CHENINHALTE UNTER DEN KURVEN
1337ad-20170321-amr	1337ad-20170321-amr/mfc/de4-72	/data/voxforge_german/audio/1337ad-20170321-amr/wav/de4-72.wav	ER WOLLTE FUNKTIONEN UNTERSUCHEN UND GEKRÃ¼MMTE FLÃ CHEN VERMESSEN
1337ad-20170321-amr	1337ad-20170321-amr/mfc/de4-73	/data/voxforge_german/audio/1337ad-20170321-amr/wav/de4-73.wav	MATHEMATISCHE FRAGESTELLUNGEN RESULTIEREN AUS DER PHYSIK UND DER INGENIEURWISSENSCHAFT
1337ad-20170321-amr	1337ad-20170321-amr/mfc/de4-74	/data/voxforge_german/audio/1337ad-20170321-amr/wav/de4-74.wav	MATHEMATIK WIRD VON VIELEN NATURWISSENSCHAFTLERN ALS HILFSWISSENSCHAFT VERWENDET
1337ad-20170321-amr	1337ad-20170321-amr/mfc/de4-75	/data/voxforge_german/audio/1337ad-20170321-amr/wav/de4-75.wav	MATHEMATIK IST KEINE NATURWISSENSCHAFT IM EIGENTLICHEN SINN
1337ad-20170321-amr	1337ad-20170321-amr/mfc/de4-76	/data/voxforge_german/audio/1337ad-20170321-amr/wav/de4-76.wav	DENN DIE AUSSAGEN DER MATHEMATIK HÃ NGEN NICHT VON EXPERIMENTEN AB
